ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,region,No_of_facilities,No_of_additional_facilities
100317509,Majestic Maxim,2021,1100,Cheras,Service Residence,2,.,2,650,2,Kuala Lumpur,8,3
99958032,Majestic Maxim,2021,1488,Cheras,Service Residence,3,1,2,819,3,Kuala Lumpur,8,3
99887598,vista wirajaya 2,.,1500,Setapak,Condominium,3,1,2,850,2,Kuala Lumpur,.,.
100253318,Danau Kota Suite Apartments,2018,2200,Setapak,Apartment,3,1,2,829,1,Kuala Lumpur,8,.
100317301,Anjung Hijau,.,1400,Bukit Jalil,Condominium,2,1,2,980,1,Kuala Lumpur,7,4
100317300,Sri Putramas,2004,1500,Jalan Kuching,Condominium,3,2,2,1100,1,Kuala Lumpur,10,3
100317269,Residensi Pandanmas 1,.,1600,Desa Pandan,Apartment,3,.,2,900,1,Kuala Lumpur,9,3
95520885,Awana Puri Condominiums,.,1500,Cheras,Condominium,3,1,2,1185,3,Kuala Lumpur,.,5
93216410,Sri Pelangi (Jalan Genting Kelang),2003,1200,Setapak,Condominium,3,1,2,931,3,Kuala Lumpur,10,1
98021559,Taman Miharja Apartment (LRT Miharja),.,1500,Cheras,Apartment,3,1,2,950,3,Kuala Lumpur,1,5
73348138,.,.,1400,Old Klang Road,Condominium,1,1,2,775,1,Kuala Lumpur,9,4
100317110,Endah Ria,2000,1600,Sri Petaling,Condominium,4,.,2,1421,3,Kuala Lumpur,5,2
100198991,Putra Villa,2007,1800,Setapak,Condominium,3,.,2,1076,1,Kuala Lumpur,7,3
100275203,Kenari Apartment (Taman Melati),.,1600,Setapak,Apartment,3,.,2,900,1,Kuala Lumpur,6,5
100317081,Mutiara Magna,.,1000,Kepong,Apartment,3,.,2,750,2,Kuala Lumpur,2,.
100247364,Kenari Apartment (Taman Melati),.,1600,Setapak,Apartment,3,1,2,900,1,Kuala Lumpur,3,4
100285044,The Holmes,.,1600,Cheras,Condominium,3,2,2,1018,3,Kuala Lumpur,.,3
100227255,Suasana Lumayan,2015,1600,Cheras,Condominium,4,1,2,1142,3,Kuala Lumpur,5,5
100317199,"The Park 2, Pavilion Bukit Jalil",2021,3200,Bukit Jalil,Service Residence,2,1,2,750,1,Kuala Lumpur,7,3
100248702,Seksyen 1 Wangsa Maju Flat,.,900,Wangsa Maju,Flat,2,.,1,600,3,Kuala Lumpur,.,2
100080858,Platinum Hill PV 6,2008,1600,Setapak,Condominium,4,1,2,1328,2,Kuala Lumpur,.,.
100082207,M3 Residency,2017,1700,Setapak,Service Residence,3,1,2,900,1,Kuala Lumpur,.,.
99870341,Platinum Lake PV 13,.,1800,Setapak,Condominium,4,.,2,1313,2,Kuala Lumpur,9,.
100208820,Putra Villa,2007,1800,Setapak,Condominium,3,1,2,1067,1,Kuala Lumpur,.,.
100317031,TR Residence,.,2500,Titiwangsa,Service Residence,3,1,2,850,1,Kuala Lumpur,7,4
100317147,Majestic Maxim,2021,1300,Cheras,Service Residence,2,1,2,650,3,Kuala Lumpur,8,2
99909032,Genting Court Condominium,1995,1100,Setapak,Condominium,3,1,2,820,3,Kuala Lumpur,8,2
99975064,Prima Court,.,900,Ampang,Condominium,3,1,2,890,3,Kuala Lumpur,11,1
100316982,Aliran Damai Apartments,.,1200,Cheras,Apartment,3,1,2,1006,3,Kuala Lumpur,.,4
100316974,Royal Regent (Sri Putramas 3),2013,2000,Jalan Kuching,Condominium,3,1,2,1018,1,Kuala Lumpur,12,3
100316829,Vue Residences,2013,1700,Titiwangsa,Service Residence,2,1,1,726,3,Kuala Lumpur,10,3
100316828,Tasikmas,.,1300,Bandar Tasik Selatan,Apartment,3,1,2,850,1,Kuala Lumpur,3,4
100316922,Flat Taman Bukit Angkasa,.,1200,Bangsar South,Flat,3,.,1,750,2,Kuala Lumpur,.,.
100316764,Seksyen 2 Wangsa Maju Flat Block D,.,1200,Wangsa Maju,Flat,2,.,1,520,2,Kuala Lumpur,.,1
100316742,Alpha Villa,.,1500,Wangsa Maju,Apartment,3,.,2,1070,3,Kuala Lumpur,6,2
100316756,M Centura,2021,2500,Sentul,Service Residence,3,.,2,850,1,Kuala Lumpur,10,4
100316540,Wangsa Maju Seksyen2 Flat Block F,.,750,Wangsa Maju,Flat,2,2,1,580,3,Kuala Lumpur,9,2
100316527,28 Boulevard,2019,1700,Pandan Perdana,Apartment,1,.,1,450,1,Kuala Lumpur,10,4
100316661,Residensi Pandanmas 2,.,1200,Desa Pandan,Condominium,3,.,2,900,2,Kuala Lumpur,8,.
100316652,Regalia Residence,2012,2100,Jalan Sultan Ismail,Service Residence,1,.,1,560,1,Kuala Lumpur,5,3
100316636,Pangsapuri Mawar (Sentul),.,1400,Sentul,Condominium,3,2,2,1010,2,Kuala Lumpur,3,.
100316599,Casa Kiara 1,.,3000,Mont Kiara,Condominium,4,2,3,1268,1,Kuala Lumpur,14,5
